Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price
Europe,Slovakia,Household,Offline,L,2/20/2010,585362994,4/11/2010,773,668.27
Europe,Czech Republic,Baby Food,Offline,H,7/18/2015,850872075,8/1/2015,810,255.28
Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,11/8/2012,575583016,11/24/2012,6660,651.21
Europe,Kosovo,Meat,Offline,H,2/1/2011,515773189,2/17/2011,7603,421.89
Europe,Monaco,Personal Care,Online,H,3/29/2016,351247346,5/8/2016,750,81.73
Europe,Portugal,Beverages,Offline,H,1/20/2016,554721438,1/28/2016,3256,47.45
Europe,Germany,Cereal,Offline,C,2/19/2010,398333632,3/2/2010,4629,205.7
Europe,Vatican City,Beverages,Online,C,12/27/2015,370484149,1/19/2016,3348,47.45
Europe,Denmark,Baby Food,Offline,H,9/29/2013,306839406,10/1/2013,9454,255.28
Europe,Estonia,Beverages,Offline,C,2/9/2017,653548610,2/21/2017,8412,47.45
Europe,Belarus,Vegetables,Online,L,12/31/2012,413078916,1/11/2013,8086,154.06
Europe,Italy,Snacks,Online,M,12/14/2010,307721745,1/1/2011,558,152.58
Europe,Kosovo,Office Supplies,Online,C,11/9/2011,374663245,11/26/2011,35,651.21
Europe,Ireland,Vegetables,Offline,C,11/16/2010,901670968,12/11/2010,3331,154.06
Europe,Montenegro,Cosmetics,Offline,L,8/19/2012,353320157,8/22/2012,4141,437.2
Europe,Norway,Cereal,Offline,L,6/20/2013,645701968,7/21/2013,6416,205.7
Europe,Poland,Office Supplies,Online,H,9/19/2013,148894631,9/25/2013,85,651.21
Europe,Sweden,Baby Food,Online,L,4/3/2013,443551385,5/9/2013,5566,255.28
Europe,Vatican City,Clothes,Offline,H,3/11/2014,508014523,3/20/2014,1642,109.28
Europe,Lithuania,Office Supplies,Online,C,7/8/2012,987767302,8/1/2012,1150,651.21
Europe,Croatia,Baby Food,Offline,H,9/19/2012,103832662,10/20/2012,5247,255.28
Europe,Malta,Personal Care,Online,H,2/19/2014,445708739,2/27/2014,3975,81.73
Europe,Macedonia,Beverages,Offline,M,7/24/2012,354655683,7/31/2012,9353,47.45
Europe,Belarus,Office Supplies,Offline,C,6/30/2017,624398362,7/24/2017,2206,651.21
Europe,Liechtenstein,Beverages,Online,C,9/5/2016,264163959,9/22/2016,840,47.45
Europe,Russia,Office Supplies,Offline,H,10/16/2011,520915305,11/7/2011,9270,651.21
Europe,Armenia,Cereal,Online,H,2/5/2013,424181544,3/4/2013,3600,205.7
Europe,United Kingdom,Office Supplies,Online,H,7/3/2015,560762631,7/16/2015,979,651.21
Europe,Moldova ,Office Supplies,Offline,L,4/4/2015,458816373,4/16/2015,2815,651.21
Europe,Netherlands,Household,Offline,L,8/18/2013,142987763,9/1/2013,2112,668.27
Europe,Andorra,Snacks,Offline,C,1/23/2010,480904042,2/5/2010,9048,152.58
Europe,Armenia,Vegetables,Online,M,12/7/2016,571323239,1/1/2017,6097,154.06
Europe,Italy,Snacks,Online,H,9/16/2012,281100928,11/3/2012,2866,152.58
Europe,Croatia,Household,Online,L,4/26/2013,659196269,6/1/2013,9680,668.27
Europe,Bulgaria,Personal Care,Offline,H,10/24/2012,595496594,11/4/2012,9530,81.73
Europe,Ireland,Personal Care,Offline,H,5/30/2010,354931628,6/8/2010,1011,81.73
Europe,Spain,Meat,Offline,C,11/29/2011,436969029,12/17/2011,7701,421.89
Europe,Moldova ,Vegetables,Online,L,3/28/2016,810752236,5/4/2016,8458,154.06
Europe,Italy,Office Supplies,Offline,C,7/8/2011,886620128,7/25/2011,9453,651.21
Europe,Finland,Cereal,Offline,M,4/10/2010,889093768,5/20/2010,1458,205.7
Europe,Poland,Cereal,Online,C,8/6/2011,454550588,9/6/2011,475,205.7
Europe,Austria,Office Supplies,Online,L,2/18/2017,926064479,3/10/2017,1913,651.21
Europe,Andorra,Fruits,Offline,C,6/29/2016,413245427,7/2/2016,7360,9.33
Europe,Finland,Beverages,Online,H,9/18/2011,884147775,10/19/2011,7829,47.45
Europe,Andorra,Cosmetics,Online,C,6/30/2012,328322827,7/19/2012,6876,437.2
Europe,Germany,Snacks,Online,H,3/22/2014,158673751,5/10/2014,3944,152.58
Europe,Italy,Snacks,Offline,L,1/7/2014,464911210,2/10/2014,6413,152.58
Europe,Serbia,Beverages,Online,C,10/12/2010,395562589,12/1/2010,4615,47.45
Europe,Italy,Baby Food,Offline,H,3/1/2012,459372985,3/22/2012,7529,255.28
Europe,Armenia,Meat,Online,L,6/25/2012,693210542,8/13/2012,5259,421.89
Europe,Sweden,Fruits,Offline,L,8/22/2011,153974950,9/20/2011,3464,9.33
Europe,Romania,Snacks,Online,H,8/18/2014,747327220,9/15/2014,9587,152.58
Europe,Bosnia and Herzegovina,Clothes,Online,M,10/10/2011,166810500,11/21/2011,1789,109.28
Europe,Lithuania,Personal Care,Offline,M,3/31/2013,386009633,4/5/2013,7683,81.73
Europe,Germany,Personal Care,Offline,H,2/8/2016,993368613,2/16/2016,8702,81.73
Europe,Germany,Baby Food,Online,L,12/9/2014,405986297,1/2/2015,9222,255.28
Europe,Bulgaria,Beverages,Online,H,2/4/2016,476794040,3/7/2016,2807,47.45
Europe,Serbia,Meat,Offline,C,12/21/2011,380610454,12/29/2011,9946,421.89
Europe,France,Vegetables,Offline,L,2/1/2012,455040681,2/2/2012,5504,154.06
Europe,Iceland,Clothes,Online,M,9/10/2013,917792117,10/7/2013,3938,109.28
Europe,Albania,Cosmetics,Offline,L,6/27/2011,728793370,8/12/2011,5009,437.2
Europe,Austria,Fruits,Offline,M,4/20/2011,185960614,5/28/2011,8733,9.33
Europe,Finland,Office Supplies,Offline,H,11/29/2011,445273578,1/9/2012,5201,651.21
Europe,Georgia,Baby Food,Online,L,1/26/2014,359197413,3/8/2014,3352,255.28
Europe,Romania,Personal Care,Offline,L,5/14/2013,853036296,6/1/2013,1251,81.73
Europe,Switzerland,Fruits,Offline,M,3/21/2012,567412793,3/27/2012,8910,9.33
Europe,Ireland,Cosmetics,Offline,H,8/27/2016,139201343,9/6/2016,1625,437.2
Europe,Ukraine,Cosmetics,Online,C,6/9/2014,183910119,6/11/2014,1946,437.2
Europe,Luxembourg,Clothes,Online,H,11/7/2013,922363460,11/23/2013,6700,109.28
Europe,Austria,Beverages,Offline,C,4/2/2012,192922341,5/1/2012,8863,47.45
Europe,Monaco,Cereal,Online,L,6/3/2017,792178905,7/21/2017,2197,205.7
Europe,Serbia,Beverages,Online,M,12/20/2011,424297845,1/8/2012,8016,47.45
Europe,Ireland,Baby Food,Online,H,5/23/2017,243684327,5/30/2017,462,255.28
Europe,San Marino,Clothes,Offline,M,5/7/2012,152505099,5/19/2012,8503,109.28
Europe,Georgia,Baby Food,Online,L,6/24/2015,203036630,7/28/2015,1905,255.28
Europe,Ukraine,Snacks,Offline,C,1/25/2016,611791121,3/3/2016,1443,152.58
Europe,San Marino,Cereal,Offline,C,7/22/2012,554554927,8/6/2012,3981,205.7
Europe,Bosnia and Herzegovina,Office Supplies,Offline,H,7/11/2012,434275662,8/13/2012,674,651.21
Europe,Germany,Personal Care,Offline,H,7/27/2014,835093390,7/29/2014,1547,81.73
Europe,Croatia,Beverages,Online,M,2/6/2017,976323497,2/10/2017,4674,47.45
Europe,Lithuania,Beverages,Online,H,1/9/2014,732703387,1/28/2014,2069,47.45
Europe,Slovenia,Household,Online,C,9/10/2014,873432672,9/17/2014,6992,668.27
Europe,Serbia,Clothes,Online,C,6/25/2011,523580348,8/4/2011,7915,109.28
Europe,Greece,Personal Care,Online,M,4/16/2017,800045716,5/14/2017,161,81.73
Europe,Malta,Vegetables,Online,M,5/10/2016,743769109,5/11/2016,6662,154.06
Europe,San Marino,Snacks,Offline,L,1/9/2013,201294267,2/9/2013,6302,152.58
Europe,Portugal,Meat,Online,L,2/11/2013,668280589,3/28/2013,7932,421.89
Europe,Albania,Household,Online,C,7/14/2017,380379998,7/16/2017,1749,668.27
Europe,Netherlands,Clothes,Online,H,1/16/2016,767490565,2/23/2016,6368,109.28
Europe,Iceland,Snacks,Offline,L,10/30/2012,720931279,11/18/2012,8441,152.58
Europe,United Kingdom,Snacks,Online,L,7/13/2013,138025033,8/3/2013,3529,152.58
Europe,Andorra,Meat,Offline,H,8/16/2016,552931869,9/9/2016,3682,421.89
Europe,Liechtenstein,Fruits,Online,L,2/8/2014,142375361,2/19/2014,888,9.33
Europe,Belgium,Cosmetics,Offline,C,6/27/2014,916089236,7/28/2014,17,437.2
Europe,Luxembourg,Fruits,Offline,L,12/6/2011,242265546,1/7/2012,614,9.33
Europe,Malta,Cosmetics,Online,M,1/12/2015,265914475,2/21/2015,8857,437.2
Europe,Slovakia,Snacks,Online,L,7/26/2015,637040793,8/4/2015,3382,152.58
Europe,Andorra,Personal Care,Offline,L,12/12/2014,754541289,12/19/2014,4390,81.73
Europe,Serbia,Vegetables,Offline,L,3/16/2015,697638976,3/26/2015,5731,154.06
Europe,Czech Republic,Baby Food,Online,C,3/10/2016,467312324,4/8/2016,6956,255.28
Europe,Slovenia,Clothes,Online,L,5/26/2012,622441852,5/28/2012,3231,109.28
Europe,Bulgaria,Meat,Online,C,7/27/2016,349212729,9/11/2016,8662,421.89
Europe,Hungary,Cosmetics,Online,H,10/6/2010,332353007,11/22/2010,9495,437.2
Europe,Slovakia,Meat,Offline,H,8/8/2013,876856458,8/29/2013,166,421.89
Europe,Bulgaria,Beverages,Offline,C,10/19/2013,313178002,12/6/2013,5185,47.45
Europe,Kosovo,Personal Care,Online,L,2/17/2016,461445796,3/22/2016,920,81.73
Europe,Spain,Cosmetics,Offline,C,1/3/2017,391026866,1/8/2017,2394,437.2
Europe,Germany,Vegetables,Offline,C,8/7/2015,204418504,9/3/2015,833,154.06
Europe,Romania,Meat,Offline,L,12/22/2012,524972951,1/17/2013,17,421.89
Europe,Latvia,Beverages,Online,C,11/27/2013,469197165,12/11/2013,4723,47.45
Europe,Sweden,Household,Offline,H,6/23/2010,688650786,8/7/2010,5926,668.27
Europe,Macedonia,Office Supplies,Online,M,6/17/2016,823236739,8/1/2016,2900,651.21
Europe,Armenia,Fruits,Offline,L,3/17/2015,439725911,4/7/2015,3524,9.33
Europe,Cyprus,Snacks,Online,H,10/1/2012,255047452,10/30/2012,3064,152.58
Europe,Malta,Meat,Offline,C,6/26/2014,662623488,7/11/2014,3870,421.89
Europe,San Marino,Vegetables,Offline,M,1/22/2016,560389268,2/22/2016,492,154.06
Europe,France,Office Supplies,Offline,C,7/12/2011,867138278,8/4/2011,4341,651.21
Europe,Montenegro,Household,Online,H,12/25/2014,525321424,12/31/2014,3138,668.27
Europe,Cyprus,Clothes,Online,H,6/10/2014,497554337,7/28/2014,6240,109.28
Europe,Vatican City,Personal Care,Offline,M,4/15/2016,626322257,5/5/2016,1529,81.73
Europe,Netherlands,Baby Food,Offline,C,1/21/2011,611766231,2/26/2011,4077,255.28
Europe,Montenegro,Baby Food,Offline,H,3/3/2013,630931794,4/1/2013,5593,255.28
Europe,San Marino,Office Supplies,Offline,L,3/4/2017,239386355,4/20/2017,8597,651.21
Europe,Germany,Household,Offline,M,8/21/2016,874172532,10/2/2016,5933,668.27
Europe,Iceland,Personal Care,Offline,C,9/19/2010,570703542,11/3/2010,2715,81.73
Europe,Hungary,Cosmetics,Online,M,9/20/2012,132603538,11/6/2012,9188,437.2
Europe,Czech Republic,Meat,Offline,L,8/6/2011,552276551,9/24/2011,9759,421.89
Europe,Macedonia,Snacks,Offline,M,3/22/2016,163587558,4/19/2016,8048,152.58
Europe,Andorra,Baby Food,Offline,M,1/10/2012,415837943,2/23/2012,4543,255.28
Europe,Hungary,Baby Food,Offline,H,5/17/2014,398645198,5/26/2014,6828,255.28
Europe,Latvia,Personal Care,Offline,H,11/2/2013,913074433,12/17/2013,7870,81.73
Europe,Andorra,Fruits,Offline,H,5/27/2014,889125955,6/15/2014,983,9.33
Europe,Austria,Fruits,Offline,H,8/6/2011,263427960,9/20/2011,3042,9.33
Europe,Liechtenstein,Meat,Online,H,7/12/2010,730490243,7/14/2010,7151,421.89
Europe,Poland,Cereal,Online,L,11/1/2016,905036389,11/20/2016,9234,205.7
Europe,Montenegro,Clothes,Online,C,3/4/2012,381759297,3/25/2012,9914,109.28
Europe,Belarus,Cosmetics,Offline,M,9/2/2011,613166129,10/21/2011,8338,437.2
Europe,Ukraine,Office Supplies,Offline,M,5/3/2017,181260526,6/3/2017,7872,651.21
Europe,Georgia,Snacks,Online,C,9/1/2013,264959609,10/18/2013,6291,152.58
Europe,Malta,Fruits,Online,L,7/31/2010,475176560,9/4/2010,4159,9.33
Europe,Armenia,Baby Food,Offline,H,1/23/2012,194922626,2/7/2012,791,255.28
Europe,France,Snacks,Offline,M,7/3/2016,447684133,8/14/2016,8538,152.58
Europe,Liechtenstein,Personal Care,Online,H,1/4/2012,527259910,1/11/2012,6779,81.73
Europe,Hungary,Baby Food,Online,M,8/10/2014,879923617,9/15/2014,7807,255.28
Europe,Portugal,Snacks,Offline,H,3/9/2014,279816472,4/14/2014,2767,152.58
Europe,Cyprus,Snacks,Online,M,11/5/2012,593018233,12/11/2012,6128,152.58
Europe,Macedonia,Baby Food,Online,H,9/16/2016,349060380,9/28/2016,3578,255.28
Europe,Latvia,Household,Offline,C,12/18/2010,863890445,12/25/2010,3235,668.27
Europe,Armenia,Personal Care,Online,C,1/16/2010,667420995,1/18/2010,3559,81.73
Europe,Montenegro,Vegetables,Offline,H,4/10/2011,842687690,5/26/2011,8869,154.06
Europe,San Marino,Beverages,Offline,L,1/2/2012,772893178,1/2/2012,5122,47.45
Europe,Czech Republic,Snacks,Online,M,7/5/2011,789484250,7/30/2011,4789,152.58
Europe,Vatican City,Personal Care,Offline,M,5/24/2012,336111962,6/16/2012,1854,81.73
Europe,San Marino,Household,Offline,H,12/9/2015,821131742,12/9/2015,9985,668.27
Europe,Liechtenstein,Household,Online,M,4/27/2014,679108560,6/11/2014,2169,668.27
Europe,Lithuania,Personal Care,Offline,L,4/19/2011,129875409,4/26/2011,1875,81.73
Europe,Ireland,Fruits,Offline,H,3/12/2015,155914723,3/29/2015,7486,9.33
Europe,Spain,Fruits,Online,H,10/9/2011,753166282,11/25/2011,7495,9.33
Europe,Andorra,Cereal,Offline,M,3/20/2015,443347108,4/9/2015,5116,205.7
Europe,Iceland,Office Supplies,Online,C,6/19/2013,527509677,7/10/2013,691,651.21
Europe,Ireland,Beverages,Offline,H,9/20/2016,416953313,10/29/2016,4606,47.45
Europe,Bosnia and Herzegovina,Cereal,Online,C,3/30/2011,639126908,5/10/2011,710,205.7
Europe,Belarus,Beverages,Online,L,6/3/2014,879405200,7/20/2014,4396,47.45
Europe,Slovenia,Beverages,Offline,H,3/17/2010,844105184,4/20/2010,8337,47.45
Europe,Netherlands,Fruits,Offline,C,9/20/2013,127838218,10/29/2013,9024,9.33
Europe,Belgium,Snacks,Online,M,11/22/2010,881717050,12/23/2010,8524,152.58
Europe,Macedonia,Household,Offline,L,10/13/2015,905509746,10/20/2015,9311,668.27
Europe,Liechtenstein,Baby Food,Online,H,6/22/2012,720878922,8/1/2012,2948,255.28
Europe,Italy,Personal Care,Offline,L,11/14/2012,306256616,11/18/2012,6993,81.73
Europe,Spain,Cereal,Offline,M,1/4/2015,392252957,2/22/2015,5222,205.7
Europe,Norway,Cosmetics,Offline,C,3/14/2014,746563756,4/12/2014,3661,437.2
Europe,Bulgaria,Household,Online,C,3/21/2014,129902875,4/24/2014,2,668.27
Europe,San Marino,Beverages,Offline,M,5/10/2014,595395314,5/30/2014,9559,47.45
Europe,Denmark,Fruits,Online,L,3/4/2011,272425591,3/21/2011,5641,9.33
Europe,Germany,Baby Food,Offline,H,11/27/2013,596166074,1/13/2014,7644,255.28
Europe,Netherlands,Beverages,Offline,C,10/18/2012,906345736,11/21/2012,6699,47.45
Europe,Germany,Cosmetics,Offline,M,2/26/2012,385340154,3/18/2012,9569,437.2
Europe,Sweden,Cosmetics,Offline,H,6/3/2012,679039466,7/5/2012,1723,437.2
Europe,San Marino,Baby Food,Offline,L,2/15/2011,587799727,3/27/2011,1856,255.28
Europe,Georgia,Snacks,Offline,L,1/22/2017,341398274,3/7/2017,6191,152.58
Europe,Greece,Fruits,Offline,H,6/14/2015,516994559,6/20/2015,9034,9.33
Europe,Slovenia,Office Supplies,Online,H,4/9/2010,483981502,5/4/2010,9736,651.21
Europe,Slovakia,Cosmetics,Online,H,5/30/2015,549187934,7/17/2015,5769,437.2
Europe,Macedonia,Clothes,Online,M,4/22/2015,989403665,5/25/2015,5386,109.28
Europe,Lithuania,Household,Online,H,1/25/2012,516635358,2/26/2012,2738,668.27
Europe,Belarus,Clothes,Offline,M,6/8/2015,173122918,7/25/2015,9773,109.28
Europe,Ireland,Beverages,Online,C,7/14/2014,357482516,7/28/2014,5875,47.45
Europe,Slovenia,Fruits,Online,L,1/18/2010,756252324,2/9/2010,723,9.33
Europe,Monaco,Clothes,Offline,H,11/16/2016,926763570,11/25/2016,8790,109.28
Europe,Croatia,Household,Online,M,10/28/2013,107651269,11/11/2013,5258,668.27
Europe,Andorra,Beverages,Online,H,8/19/2010,425547969,9/11/2010,7955,47.45
Europe,Estonia,Clothes,Offline,L,1/24/2016,264928710,1/27/2016,7147,109.28
Europe,Andorra,Beverages,Offline,L,1/13/2010,861180341,2/20/2010,1255,47.45
Europe,Ireland,Beverages,Offline,M,6/10/2011,580569350,7/3/2011,2227,47.45
Europe,Serbia,Vegetables,Offline,M,2/25/2013,559417665,2/28/2013,2973,154.06
Europe,Liechtenstein,Household,Online,C,8/21/2015,184976994,9/21/2015,7658,668.27
Europe,Cyprus,Beverages,Online,M,12/8/2013,874349772,1/4/2014,8383,47.45
Europe,Andorra,Household,Online,H,11/15/2016,713009965,12/16/2016,4348,668.27
Europe,Andorra,Baby Food,Online,M,10/24/2016,569941365,11/26/2016,7170,255.28
Europe,Malta,Household,Online,H,9/9/2010,845067346,9/13/2010,3062,668.27
Europe,Czech Republic,Fruits,Offline,M,11/24/2014,774926936,11/27/2014,6956,9.33
Europe,Hungary,Baby Food,Online,H,5/6/2011,217920958,6/25/2011,6509,255.28
Europe,Lithuania,Clothes,Online,C,2/6/2013,523836123,3/22/2013,3605,109.28
Europe,Ukraine,Vegetables,Online,C,11/6/2011,446019017,11/25/2011,5794,154.06
Europe,Luxembourg,Clothes,Online,H,5/14/2011,475992381,5/26/2011,5578,109.28
Europe,Serbia,Office Supplies,Offline,C,3/1/2017,410514724,4/10/2017,9284,651.21
Europe,Germany,Personal Care,Offline,C,3/14/2010,938209950,3/16/2010,6028,81.73
Europe,Ukraine,Clothes,Offline,H,9/27/2016,747955071,10/25/2016,5382,109.28
Europe,Andorra,Clothes,Offline,L,5/14/2017,923160398,6/15/2017,2531,109.28
Europe,Monaco,Office Supplies,Online,H,10/20/2012,754227149,11/24/2012,1429,651.21
Europe,Norway,Baby Food,Offline,L,2/24/2013,357943856,3/17/2013,2396,255.28
Europe,Ireland,Cosmetics,Online,M,1/28/2011,815917098,2/13/2011,6856,437.2
Europe,Monaco,Clothes,Offline,L,1/2/2011,626011979,1/11/2011,9711,109.28
Europe,Bosnia and Herzegovina,Baby Food,Online,M,4/1/2015,640295922,4/3/2015,6647,255.28
Europe,Romania,Snacks,Online,C,1/11/2010,653920686,1/18/2010,8517,152.58
Europe,Sweden,Fruits,Online,M,1/10/2017,994504153,1/13/2017,4734,9.33
Europe,Czech Republic,Meat,Offline,M,5/9/2017,920011270,6/12/2017,634,421.89
